,"h,h","h,v","h,d","h,a","h,r","h,l","v,h","v,v","v,d","v,a","v,r","v,l","d,h","d,v","d,d","d,a","d,r","d,l","a,h","a,v","a,d","a,a","a,r","a,l","r,h","r,v","r,d","r,a","r,r","r,l","l,h","l,v","l,d","l,a","l,r","l,l"
"r,h",1.0794442441950634,1.0845779127269841,1.084283230993095,1.0846300033699574,1.0829105035824065,1.08638098698485,1.0847559857173865,1.0520636359260045,1.0767797082106236,1.0890720531783622,1.0908441960248754,1.0695574644473758,1.0891319114498363,1.0805240245736991,0.631685456938912,0.4062549549835438,1.0906307943312332,1.07352694706714,1.0772473856968852,1.0865222600617799,0.4066374995308738,0.6308813667993789,1.0802049391987074,1.0831088816530414,1.0909090909090908,1.0747802002024907,1.0800385854737253,1.0848982556566549,0.6339753867370732,0.40245597241972175,1.0687012334886274,1.0898843144016073,1.0882647285636944,1.0835072804101604,0.4061773322252121,0.630373173283825
"r,v",1.0710336707991601,1.0885829264020772,1.0887154271712667,1.0885013506134376,1.089453067617596,1.087202562651019,1.0885036027094976,1.0752242709272393,1.09072243216286,1.0835732728057321,1.0756326090648427,1.0904054175372875,1.0834202983435754,1.0902170700037768,0.4705560350184072,0.5731684216196848,1.0712952640004008,1.090817329907186,1.0907257434585793,1.0871801138801283,0.5735335464662864,0.4696520145815405,1.0903178722206275,1.0890417849268652,1.0747802002024907,1.0909090909090908,1.0900993244104313,1.0877912497903695,0.4731013697135054,0.5697284695290512,1.090280664205106,1.0817405784851537,1.0845408330670059,1.0889538859022345,0.5730936280216395,0.4691112942645367
"r,d",1.0759859217375585,1.0899513034686796,1.0899547709914317,1.0898793017727062,1.0903798738547026,1.0891387199459188,1.0899956767073689,1.074573738797295,1.0903336927626612,1.0867882407082743,1.0806547663618822,1.088676084435047,1.086651095431459,1.090515020551721,0.5013087797510972,0.5434042266012807,1.0769408474052373,1.0898596046899174,1.0904010839695033,1.0892730925408518,0.5437727587392862,0.5005040615612262,1.0907397821619225,1.0900211615233768,1.0800385854737253,1.0900993244104313,1.0909090909090913,1.0896383252112627,0.5038557073926411,0.5398762234706214,1.0884963434919794,1.0854556573723801,1.0871657766975344,1.0900111059706494,0.5433580974072998,0.49993337796982895
"r,a",1.0799998162074138,1.090501535892881,1.090533280231839,1.0902919566556106,1.0903368313935482,1.0904262526392914,1.0905014600503566,1.0714743678721141,1.0884051501245116,1.0896198081047732,1.0854878622632533,1.0856143861345549,1.0894585380386201,1.0896663294872229,0.5384604843291142,0.5062727638804291,1.0828271751915137,1.0872118713378738,1.0886935095872776,1.0904879870452906,0.5066541506981115,0.5377160970495531,1.0895651055285869,1.090580328902264,1.0848982556566549,1.0877912497903695,1.0896383252112627,1.0909090909090908,0.5410434891697797,0.5026461028333602,1.0852967794139878,1.0887239106359148,1.0898379806953435,1.0898018397430513,0.5061762579826741,0.537207825900252
"r,r",0.5862422532217798,0.5356191289114351,0.53327895184026,0.5360085807751023,0.522587792676161,0.5515665047886428,0.5366134660071653,0.4219818744443474,0.48356827134690616,0.5831217191449687,0.6301624907779678,0.4476249810405365,0.5843190307820486,0.5063208656369942,1.0908863538495628,-0.5877639126073775,0.6498468070028244,0.466118235440045,0.4862841985256894,0.5521971910289477,-0.5874106681621462,1.0908970490113699,0.504083917943095,0.5263827751828816,0.6339753867370732,0.4731013697135054,0.5038557073926411,0.5410434891697797,1.090909090909091,-0.5911787630128025,0.4438106617690659,0.5959919303363999,0.5747447575108451,0.5278956825668688,-0.5878434895832632,1.0908996493110228
"r,l",0.4449127967460297,0.5084100779882674,0.510776583176331,0.507945197564818,0.5215623985205589,0.4920561569824583,0.5074113374196149,0.6044427030736023,0.5596667650620911,0.45883078654394976,0.40687167043953204,0.593464930947069,0.4575413423885992,0.537638260410261,-0.5935585461501048,1.0908928208323703,0.3842257580783732,0.5762629134122955,0.5571277702281023,0.49143399700324686,1.0908930099190377,-0.5943939053014706,0.5398312148958022,0.5176731097756175,0.40245597241972175,0.5697284695290512,0.5398762234706214,0.5026461028333602,-0.5911787630128025,1.0909090909090908,0.5969737967635466,0.4449261144238468,0.4676707866134274,0.5160503649147322,1.090892688440747,-0.5948894371314069
"l,h",1.0684017443533689,1.0859139299329472,1.0861998760915736,1.0857401610834054,1.0872428501616451,1.0840417608232271,1.0858262777293903,1.078403365660392,1.0897608468668583,1.0794311239170549,1.069736262835259,1.0908461179982234,1.0791818822982688,1.0884543901124215,0.4411504182216387,0.6003699297663665,1.064742831856854,1.090438315977658,1.0897448334697253,1.08399617135722,0.6007170482531292,0.44029571901225845,1.0885900135839217,1.0869493810721438,1.0687012334886274,1.090280664205106,1.0884963434919794,1.0852967794139878,0.4438106617690659,0.5969737967635466,1.0909090909090913,1.0770876161392853,1.0807241981622757,1.0864183086762806,0.6002789075033426,0.4397739108350002
"l,v",1.0806094703505316,1.0885710693091597,1.088399978597798,1.0885440392201253,1.0875271096727255,1.089609811949869,1.0886764959833188,1.0611104159957525,1.0831448140382482,1.0907698790179896,1.090098731761836,1.0777458333825192,1.0907690697156074,1.0858742353888102,0.5936004210612895,0.4486358571260455,1.088911409262857,1.0807166098939218,1.0835464311394063,1.0896827379512772,0.4490137858377144,0.5927849537119703,1.085631799935802,1.0877243736275106,1.0898843144016073,1.0817405784851537,1.0854556573723801,1.0887239106359148,0.5959919303363999,0.4449261144238468,1.0770876161392853,1.0909090909090908,1.090446549055599,1.087803866833999,0.4485478969136142,0.5922851788013509
"l,d",1.0801400377909238,1.0897702834873304,1.0897200544736756,1.0897016275817633,1.0890733560201262,1.0903909254939517,1.0897857386014964,1.0647955346031224,1.0856220303193485,1.0907313096606888,1.088705485929555,1.0812479210510262,1.0906621515667387,1.087843232887401,0.5723090933704101,0.47134404588107676,1.087021693875856,1.0836290273688818,1.0859978802449306,1.0903942216678382,0.4717149780541525,0.5714529930770461,1.0875066882827196,1.089321033330563,1.0882647285636944,1.0845408330670059,1.0871657766975344,1.0898379806953435,0.5747447575108451,0.4676707866134274,1.0807241981622757,1.090446549055599,1.0909090909090913,1.0891193448398004,0.4712267672427197,0.5709830887517336
"l,a",1.0770788171026324,1.0906250079124478,1.0906142707140551,1.090697992462759,1.0906734822056545,1.0903531681281933,1.090684939970324,1.0709380922429372,1.0895895658471506,1.0886701679315838,1.0840013303268021,1.0868386156832546,1.0886436362844862,1.0904441220260668,0.5254813107244314,0.5196092656003959,1.0810978291870643,1.088484955496335,1.089739181274616,1.090369261417973,0.5199631733511558,0.5245377096057756,1.0903889991444966,1.0903175109799912,1.0835072804101604,1.0889538859022345,1.0900111059706494,1.0898018397430513,0.5278956825668688,0.5160503649147322,1.0864183086762806,1.087803866833999,1.0891193448398004,1.0909090909090913,0.5195378056041641,0.5240187026121526
