,"h,h","h,v","h,d","h,a","h,r","h,l","v,h","v,v","v,d","v,a","v,r","v,l","d,h","d,v","d,d","d,a","d,r","d,l","a,h","a,v","a,d","a,a","a,r","a,l","r,h","r,v","r,d","r,a","r,r","r,l","l,h","l,v","l,d","l,a","l,r","l,l"
"v,r",1.0794880038918593,1.0848512023821368,1.084588021279592,1.084867934601275,1.0832816377683279,1.086592608822098,1.0849900266081152,1.0529739172889472,1.0772367763776853,1.089211817771586,1.0909090909090908,1.0703575655226905,1.089269289222797,1.0809385427430183,0.6279841775721191,0.4111710171555008,1.0904042366658455,1.0740654723886562,1.0777439655414467,1.086649837810822,0.4115162636262666,0.627240547237681,1.0805564326614778,1.0836270997378836,1.0906154395656316,1.0753710444511184,1.0803419258886648,1.0852066498117776,0.630296565107433,0.4073907394154462,1.0695058585754658,1.0899000482657755,1.0885303661561205,1.0837398128922935,0.41107861451803474,0.6267621073455036
"v,l",1.0698668401958396,1.0859586507123489,1.086229103417585,1.0858666329469955,1.0872648881455362,1.0841974884679886,1.0859259625950384,1.0790166185666201,1.0896988861792787,1.0797513236931815,1.0703575655226905,1.0909090909090908,1.0795313817814902,1.088405953151849,0.4454595130910402,0.597061859981356,1.0654273707804625,1.0902317194022966,1.0896485456330482,1.0841648120635514,0.5973671269950142,0.44466630864702517,1.0885385312430413,1.0868252296134973,1.0693982596397773,1.0899968884463462,1.088490969839375,1.085277277350071,0.4480638610089454,0.5936217252281701,1.090478803181667,1.0775076776041934,1.080915241024691,1.0865415126474312,0.5969818741054811,0.4441389695651231
"d,h",1.0804327442015413,1.089082006430155,1.0889503405794467,1.0890755766223257,1.0882640244635544,1.0898956348018911,1.0891632037981311,1.0631108264126121,1.084439139436861,1.090657617101737,1.089269289222797,1.0795313817814902,1.0909090909090908,1.0868499207999311,0.5820506980260076,0.4617377218597547,1.0877538160812317,1.082235011291965,1.0847862797873808,1.0899195913494646,0.46207038129354283,0.5812814094268242,1.0866014983318304,1.0883803701784143,1.0889665105127446,1.083148795327625,1.0864082274402773,1.0891196282397166,0.5844324843303943,0.45803280132827895,1.0788953553826992,1.0905757994297272,1.0904645708100842,1.0884020604895819,0.4616431439194569,0.5807837611788421
"d,v",1.0762330469594912,1.0898656150370247,1.08996089344702,1.0898136779436758,1.090297902750142,1.0891699774161339,1.0898602618095399,1.0741457856464018,1.0900212642535627,1.0869778858060393,1.0809385427430183,1.088405953151849,1.0868499207999311,1.0909090909090908,0.5042123028442045,0.5414344088716445,1.0774397786447802,1.0894177803638467,1.0901374563320265,1.089137442717648,0.5417568710068668,0.5034489486105864,1.0903135540726416,1.0900633244308815,1.0802529457223469,1.0896936939993715,1.090157485764501,1.0893990201882673,0.5067495718481834,0.5378814181961784,1.0881064651183845,1.085640740127464,1.0875765029448554,1.0899159754686996,0.5413513522783706,0.5029331741779961
"d,d",0.5837852996049706,0.5334464171309221,0.5311084031630608,0.5338467462017344,0.5204330744017395,0.5493734434420134,0.5344465047375785,0.4196073402067549,0.4814702513886141,0.5809269389393077,0.6279841775721191,0.4454595130910402,0.5820506980260076,0.5042123028442045,1.0909090909090908,-0.589419175438997,0.6476835713540132,0.4640086734131676,0.48417520202622255,0.5500099225381199,-0.5889858141767973,1.0907856700234588,0.501976349885999,0.5241946699474249,0.6318122250341263,0.4709884577086435,0.5017473669206791,0.5388514461675569,1.0912158323992596,-0.5928234830853506,0.44163971070829044,0.5937482492879225,0.572546469842633,0.5257250872077133,-0.5894944520818637,1.0907894268802374
"d,a",0.4493826890033541,0.5123847671283884,0.5147455600414108,0.5119218907054792,0.5254822684160586,0.4960896648180003,0.5113881772268376,0.6082131859826743,0.5633621313078059,0.4629892978784278,0.4111710171555008,0.597061859981356,0.4617377218597547,0.5414344088716445,-0.589419175438997,1.090909090909091,0.38856424311998417,0.5799140600419583,0.5608231102709729,0.49547740439983484,1.090633518830584,-0.5904040478688095,0.5436197604964941,0.5215824649622096,0.406779524474278,0.5733687721961586,0.5436827687180583,0.506663030442581,-0.5869627038751442,1.090476618722608,0.6005560964164367,0.44915195537761055,0.47178345162383556,0.5199794834152649,1.090487260459599,-0.5908980385105678
"d,r",1.0782989349317926,1.082093573144618,1.0817533442469711,1.082109785455804,1.0801814792986746,1.0842251498140443,1.0822457420754232,1.0476861926852261,1.0731948414176768,1.0876653314744438,1.0904042366658455,1.0654273707804625,1.0877538160812317,1.0774397786447802,0.6476835713540132,0.38856424311998417,1.0909090909090913,1.0695952269432607,1.07375984192158,1.0843034822438398,0.38891914355618434,0.646955928603512,1.0770119156548594,1.0806135363294311,1.090438597684992,1.0710592627538627,1.0768145737190076,1.0825886564683227,0.649963538709986,0.3847547604575938,1.0644924185115392,1.0886893446287447,1.0867539566320414,1.0807674956083386,0.3884789487787821,0.646481973479226
"d,l",1.0720849610036711,1.0875745365060707,1.0877956207118602,1.08749962632265,1.0886204168339682,1.0861472659517184,1.0875491102410677,1.0776968038715522,1.0901703477925624,1.082428016734408,1.0740654723886562,1.0902317194022966,1.082235011291965,1.0894177803638467,0.4640086734131676,0.5799140600419583,1.0695952269432607,1.0909090909090908,1.090182161813432,1.086103480366937,0.5802266857973138,0.4632198654506009,1.0894865550944581,1.0882450070630145,1.073195057941497,1.0902977113004186,1.0893895433323841,1.086945547475835,0.4665913213761829,0.5764404963584853,1.0901185705195822,1.0804626914029347,1.0834175877131897,1.0879922093149728,0.5798336392838801,0.46269902204627034
"a,h",1.0751628231742705,1.0889892713424012,1.0891582839010647,1.088918571783987,1.0897216627342838,1.0879438324655444,1.088995649347039,1.0770633397098177,1.090394516523396,1.0849560730274985,1.0777439655414467,1.0896485456330482,1.0847862797873808,1.0901374563320265,0.48417520202622255,0.5608231102709729,1.07375984192158,1.090182161813432,1.0909090909090908,1.0879230279037246,0.5611418868778316,0.48340944990258905,1.090159942703853,1.0894564397268502,1.0769621517074888,1.090266139340263,1.0900821954790303,1.0885358960969318,0.4867484043579371,0.5573076478820512,1.0894641302760326,1.0832965878379563,1.085739454249416,1.0892241042563031,0.5607455008724682,0.48289430396998356
"a,v",1.0807877926938152,1.09025247332663,1.0902293182554086,1.0902239431847098,1.0899633140030813,1.0904591364458698,1.0903240813662334,1.069906633891863,1.0876549598877392,1.0899941004895406,1.086649837810822,1.0841648120635514,1.0899195913494646,1.089137442717648,0.5500099225381199,0.49547740439983484,1.0843034822438398,1.086103480366937,1.0879230279037246,1.0909090909090908,0.49580837057174565,0.549242726598586,1.0889741450023398,1.0899612720892093,1.0861882512915306,1.0867008694629534,1.088874018013684,1.0901980304435748,0.5524642345984229,0.4918230695403215,1.083671592175941,1.0893711166648605,1.0901035959876375,1.089863848294693,0.495397267840575,0.5487447338134483
