time_s,counts
0.6807,32.0
0.68075,37.0
0.6808,49.0
0.68085,36.0
0.68555,42.0
0.6856,32.0
0.68565,41.0
0.6857,39.0
0.68575,31.0
0.6858,44.0
0.68585,30.0
0.69055,37.0
0.6906,52.0
0.69065,28.0
0.6907,41.0
0.69075,42.0
0.6908,40.0
0.69085,39.0
0.69555,31.0
0.6956,37.0
0.69565,46.0
0.6957,34.0
0.69575,28.0
0.6958,36.0
0.69585,39.0
0.70055,45.0
0.7006,34.0
0.70065,37.0
0.7007,34.0
0.70075,34.0
0.7008,35.0
0.70085,32.0
0.70555,38.0
0.7056,41.0
0.70565,39.0
0.7057,33.0
0.70575,37.0
0.7058,29.0
0.70585,28.0
0.71055,35.0
0.7106,34.0
0.71065,31.0
0.7107,27.0
0.71075,42.0
0.7108,36.0
0.71085,31.0
0.71555,45.0
0.7156,46.0
0.71565,28.0
0.7157,34.0
0.71575,39.0
0.7158,37.0
0.71585,34.0
0.72055,44.0
0.7206,25.0
0.72065,39.0
0.7207,30.0
0.72075,34.0
0.7208,29.0
0.72085,21.0
0.72555,45.0
0.7256,41.0
0.72565,40.0
0.7257,49.0
0.72575,33.0
0.7258,28.0
0.72585,21.0
0.7305,30.0
0.73055,36.0
0.7306,33.0
0.73065,42.0
0.7307,47.0
0.73075,41.0
0.7308,41.0
0.7355,22.0
0.73555,51.0
0.7356,38.0
0.73565,35.0
0.7357,36.0
0.73575,34.0
0.7358,33.0
0.7405,28.0
0.74055,33.0
0.7406,38.0
0.74065,26.0
0.7407,41.0
0.74075,32.0
0.7408,29.0
0.74085,26.0
0.7455,36.0
0.74555,35.0
0.7456,45.0
0.74565,46.0
0.7457,40.0
0.74575,50.0
0.7458,40.0
0.74585,23.0
0.7505,36.0
0.75055,48.0
0.7506,32.0
0.75065,42.0
0.7507,38.0
0.75075,31.0
0.7508,39.0
0.7555,28.0
0.75555,37.0
0.7556,34.0
0.75565,32.0
0.7557,31.0
0.75575,39.0
0.7558,31.0
0.7605,33.0
0.76055,42.0
0.7606,32.0
0.76065,35.0
0.7607,34.0
0.76075,41.0
0.7608,25.0
0.7655,22.0
0.76555,21.0
0.7656,37.0
0.76565,45.0
0.7657,40.0
0.76575,47.0
0.7658,30.0
0.7705,30.0
0.77055,28.0
0.7706,44.0
0.77065,27.0
0.7707,35.0
0.77075,37.0
0.7708,33.0
0.7755,47.0
0.77555,28.0
0.7756,33.0
0.77565,24.0
0.7757,28.0
0.77575,34.0
0.7758,47.0
0.7805,30.0
0.78055,38.0
0.7806,29.0
0.78065,44.0
0.7807,37.0
0.78075,35.0
0.7808,52.0
0.7855,41.0
0.78555,30.0
0.7856,44.0
0.78565,42.0
0.7857,39.0
0.78575,40.0
0.7858,35.0
0.7905,31.0
0.79055,39.0
0.7906,30.0
0.79065,28.0
0.7907,41.0
0.79075,34.0
0.7908,37.0
0.7955,31.0
0.79555,29.0
0.7956,39.0
0.79565,35.0
0.7957,37.0
0.79575,40.0
0.7958,27.0
0.8005,34.0
0.80055,32.0
0.8006,38.0
0.80065,35.0
0.8007,33.0
0.80075,26.0
0.8008,26.0
0.80545,24.0
0.8055,31.0
0.80555,39.0
0.8056,35.0
0.80565,47.0
0.8057,27.0
0.80575,29.0
0.8058,30.0
0.8105,44.0
0.81055,33.0
0.8106,30.0
0.81065,29.0
0.8107,31.0
0.81075,31.0
0.8108,26.0
0.8155,39.0
0.81555,34.0
0.8156,50.0
0.81565,43.0
0.8157,31.0
0.81575,41.0
0.8158,30.0
0.82045,26.0
0.8205,22.0
0.82055,44.0
0.8206,42.0
0.82065,28.0
0.8207,38.0
0.82075,43.0
0.8208,21.0
0.8255,51.0
0.82555,41.0
0.8256,31.0
0.82565,31.0
0.8257,41.0
0.82575,34.0
0.8305,42.0
0.83055,42.0
0.8306,37.0
0.83065,37.0
0.8307,28.0
0.83075,32.0
0.83545,34.0
0.8355,39.0
0.83555,45.0
0.8356,39.0
0.83565,35.0
0.8357,30.0
0.83575,42.0
0.84045,21.0
0.8405,42.0
0.84055,28.0
0.8406,38.0
0.84065,54.0
0.8407,43.0
0.84075,39.0
0.84545,25.0
0.8455,35.0
0.84555,41.0
0.8456,40.0
0.84565,30.0
0.8457,36.0
0.84575,43.0
0.85045,36.0
0.8505,33.0
0.85055,33.0
0.8506,34.0
0.85065,37.0
0.8507,41.0
0.85075,42.0
0.85545,34.0
0.8555,46.0
0.85555,42.0
0.8556,40.0
0.85565,37.0
0.8557,34.0
0.85575,31.0
0.86045,41.0
0.8605,34.0
0.86055,37.0
0.8606,32.0
0.86065,42.0
0.8607,43.0
0.86075,37.0
0.86545,29.0
0.8655,32.0
0.86555,46.0
0.8656,36.0
0.86565,35.0
0.8657,38.0
0.86575,32.0
0.87045,27.0
0.8705,35.0
0.87055,30.0
0.8706,32.0
0.87065,33.0
0.8707,31.0
0.87075,29.0
0.87545,42.0
0.8755,29.0
0.87555,32.0
0.8756,37.0
0.87565,47.0
0.8757,30.0
0.87575,45.0
0.88045,40.0
0.8805,35.0
0.88055,37.0
0.8806,41.0
0.88065,47.0
0.8807,29.0
0.88075,36.0
0.88545,41.0
0.8855,33.0
0.88555,44.0
0.8856,32.0
0.88565,37.0
0.8857,38.0
0.88575,36.0
0.89045,35.0
0.8905,35.0
0.89055,33.0
0.8906,24.0
0.89065,51.0
0.8907,38.0
0.89075,24.0
0.89545,39.0
0.8955,31.0
0.89555,43.0
0.8956,41.0
0.89565,36.0
0.8957,35.0
0.89575,32.0
0.90045,48.0
0.9005,26.0
0.90055,34.0
0.9006,42.0
0.90065,44.0
0.9007,32.0
0.90075,24.0
0.90545,44.0
0.9055,32.0
0.90555,46.0
0.9056,35.0
0.90565,30.0
0.9057,35.0
0.90575,21.0
0.91045,23.0
0.9105,42.0
0.91055,45.0
0.9106,28.0
0.91065,51.0
0.9107,39.0
0.91075,31.0
0.9154,27.0
0.91545,45.0
0.9155,33.0
0.91555,30.0
0.9156,37.0
0.91565,32.0
0.9157,42.0
0.91575,21.0
0.9204,31.0
0.92045,32.0
0.9205,38.0
0.92055,30.0
0.9206,27.0
0.92065,37.0
0.9207,38.0
0.92075,24.0
0.9254,28.0
0.92545,46.0
0.9255,45.0
0.92555,29.0
0.9256,40.0
0.92565,36.0
0.9257,23.0
0.93045,24.0
0.9305,28.0
0.93055,42.0
0.9306,32.0
0.93065,36.0
0.9307,37.0
0.93075,22.0
0.9354,28.0
0.93545,37.0
0.9355,37.0
0.93555,48.0
0.9356,37.0
0.93565,38.0
0.9357,30.0
0.9404,31.0
0.94045,38.0
0.9405,39.0
0.94055,34.0
0.9406,33.0
0.94065,42.0
0.9407,44.0
0.9454,31.0
0.94545,45.0
0.9455,34.0
0.94555,35.0
0.9456,23.0
0.94565,46.0
0.9457,35.0
0.9504,40.0
0.95045,39.0
0.9505,41.0
0.95055,46.0
0.9506,36.0
0.95065,28.0
0.9507,43.0
0.9554,28.0
0.95545,46.0
0.9555,27.0
0.95555,34.0
0.9556,33.0
0.95565,32.0
0.9557,35.0
0.9604,28.0
0.96045,27.0
0.9605,38.0
0.96055,26.0
0.9606,31.0
0.96065,37.0
0.9607,47.0
0.9654,33.0
0.96545,38.0
0.9655,28.0
0.96555,38.0
0.9656,40.0
0.96565,42.0
0.9657,34.0
0.9704,41.0
0.97045,37.0
0.9705,37.0
0.97055,43.0
0.9706,44.0
0.97065,43.0
0.9707,36.0
0.9754,38.0
0.97545,41.0
0.9755,40.0
0.97555,49.0
0.9756,29.0
0.97565,35.0
0.9757,38.0
0.9804,41.0
0.98045,45.0
0.9805,31.0
0.98055,39.0
0.9806,30.0
0.98065,42.0
0.9807,28.0
0.9854,37.0
0.98545,31.0
0.9855,41.0
0.98555,42.0
0.9856,43.0
0.98565,27.0
0.9857,25.0
0.9904,31.0
0.99045,32.0
0.9905,27.0
0.99055,37.0
0.9906,47.0
0.99065,41.0
0.9907,27.0
0.9954,38.0
0.99545,45.0
0.9955,42.0
0.99555,38.0
0.9956,34.0
0.99565,31.0
0.9957,30.0
1.0004,42.0
1.00045,49.0
1.0005,33.0
1.00055,32.0
1.0006,42.0
1.00065,34.0
1.0007,28.0
1.00535,25.0
1.0054,29.0
1.00545,36.0
1.0055,42.0
1.00555,36.0
1.0056,39.0
1.00565,28.0
1.0104,29.0
1.01045,31.0
1.0105,39.0
1.01055,34.0
1.0106,39.0
1.01065,43.0
1.01535,24.0
1.0154,26.0
1.01545,45.0
1.0155,25.0
1.01555,32.0
1.0156,29.0
1.01565,34.0
1.0204,43.0
1.02045,34.0
1.0205,34.0
1.02055,44.0
1.0206,46.0
1.02065,38.0
1.0254,38.0
1.02545,36.0
1.0255,36.0
1.02555,32.0
1.0256,31.0
1.02565,38.0
1.0257,24.0
1.03035,21.0
1.0304,35.0
1.03045,29.0
1.0305,30.0
1.03055,37.0
1.0306,44.0
1.03065,29.0
1.03535,33.0
1.0354,32.0
1.03545,29.0
1.0355,43.0
1.03555,34.0
1.0356,38.0
1.03565,33.0
1.04035,37.0
1.0404,35.0
1.04045,39.0
1.0405,36.0
1.04055,44.0
1.0406,34.0
1.04065,45.0
1.04535,38.0
1.0454,31.0
1.04545,38.0
1.0455,45.0
1.04555,37.0
1.0456,38.0
1.04565,39.0
1.05035,33.0
1.0504,40.0
1.05045,37.0
1.0505,29.0
1.05055,45.0
1.0506,31.0
1.05065,35.0
1.05535,38.0
1.0554,41.0
1.05545,35.0
1.0555,48.0
1.05555,50.0
1.0556,35.0
1.05565,31.0
1.06035,33.0
1.0604,41.0
1.06045,35.0
1.0605,32.0
1.06055,40.0
1.0606,40.0
1.06065,34.0
1.06535,34.0
1.0654,52.0
1.06545,42.0
1.0655,33.0
1.06555,38.0
1.0656,51.0
1.06565,38.0
1.07035,28.0
1.0704,37.0
1.07045,44.0
1.0705,32.0
1.07055,24.0
1.0706,30.0
1.07065,31.0
1.07535,41.0
1.0754,35.0
1.07545,27.0
1.0755,47.0
1.07555,37.0
1.0756,33.0
1.07565,31.0
1.08035,26.0
1.0804,32.0
1.08045,44.0
1.0805,32.0
1.08055,36.0
1.0806,40.0
1.08065,25.0
1.08535,45.0
1.0854,35.0
1.08545,29.0
1.0855,31.0
1.08555,30.0
1.0856,36.0
1.08565,33.0
1.09035,36.0
1.0904,33.0
1.09045,30.0
1.0905,37.0
1.09055,44.0
1.0906,37.0
1.09535,43.0
1.0954,30.0
1.09545,35.0
1.0955,41.0
1.09555,34.0
1.0956,32.0
1.09565,27.0
1.10035,33.0
1.1004,27.0
1.10045,43.0
1.1005,43.0
1.10055,45.0
1.1006,35.0
1.10065,24.0
1.10535,30.0
1.1054,34.0
1.10545,44.0
1.1055,35.0
1.10555,38.0
1.1056,35.0
1.10565,25.0
1.11035,37.0
1.1104,54.0
1.11045,45.0
1.1105,41.0
1.11055,42.0
1.1106,29.0
1.1153,22.0
1.11535,40.0
1.1154,29.0
1.11545,34.0
